Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,100.709999,101.129997,100.180000,100.720001,98.321899,517100
2018-01-03,100.379997,100.400002,97.330002,98.779999,96.428093,542000
2018-01-04,98.449997,98.599998,97.459999,98.080002,95.744759,396400
2018-01-05,97.699997,98.599998,97.459999,98.290001,95.949760,276400
2018-01-08,98.540001,98.660004,97.440002,97.709999,95.383568,464900
2018-01-09,96.699997,97.449997,95.599998,97.050003,94.739288,354900
2018-01-10,98.209999,98.230003,97.440002,97.900002,95.569046,271100
2018-01-11,98.370003,98.680000,97.970001,98.050003,95.715477,288400
2018-01-12,99.620003,100.550003,99.209999,100.449997,98.058327,444700
2018-01-16,99.080002,100.480003,98.720001,100.389999,97.999756,413100
2018-01-17,99.510002,101.199997,99.099998,99.300003,96.935715,337600
2018-01-18,98.269997,98.750000,97.580002,97.849998,95.520233,381500
2018-01-19,99.459999,99.610001,98.650002,98.650002,96.301186,506100
2018-01-22,99.339996,99.750000,98.559998,98.900002,96.545235,374100
2018-01-23,98.540001,100.199997,97.910004,100.029999,97.648331,477400
2018-01-24,101.750000,104.050003,101.730003,103.349998,100.889282,661300
2018-01-25,103.190002,103.620003,100.180000,101.199997,98.790474,544000
2018-01-26,100.889999,101.339996,100.290001,101.250000,98.839279,487900
2018-01-29,101.230003,101.669998,100.320000,100.709999,98.312141,682600
2018-01-30,101.879997,102.269997,100.290001,101.089996,98.683090,588400
2018-01-31,101.080002,101.680000,99.169998,101.160004,98.751427,470700
2018-02-01,99.760002,101.660004,99.559998,101.000000,98.595238,527200
2018-02-02,100.410004,100.489998,98.650002,99.230003,96.867378,912200
2018-02-05,95.290001,96.029999,90.510002,92.629997,90.424515,1912200
2018-02-06,89.529999,91.709999,88.919998,89.160004,87.037148,1392700
2018-02-07,86.540001,87.459999,85.269997,85.389999,83.356903,1910200
2018-02-08,85.029999,86.099998,84.230003,84.959999,82.937141,2070900
2018-02-09,83.669998,83.720001,81.349998,83.000000,81.023804,1371100
2018-02-12,84.309998,86.230003,84.209999,85.620003,83.581429,728500
2018-02-13,84.739998,85.430000,84.250000,85.110001,83.083572,441500
2018-02-14,85.970001,90.769997,85.489998,90.110001,87.964523,1112400
2018-02-15,90.459999,91.389999,89.269997,90.650002,88.491669,1004100
